lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
100.,Pautz,Andreas,TSV Breitengüßbach 4,31,245,Bezirksliga,2003,Oberfranken
101.,Hopf,Rüdiger,TSV Breitengüßbach 4,31,245,Bezirksliga,2003,Oberfranken
102.,Korb,Christian,1.FC 01 Bamberg,30,245,Bezirksliga,2003,Oberfranken
103.,Franck,Sven,BSC Saas Bayreuth,29,245,Bezirksliga,2003,Oberfranken
104.,Röder,Matthias,BG Litzendorf,25,245,Bezirksliga,2003,Oberfranken
105.,Schneiderbanger,Michael,SpVgg Rattelsdorf 2,24,245,Bezirksliga,2003,Oberfranken
106.,Jahn,Thomas,BSC Saas Bayreuth,23,245,Bezirksliga,2003,Oberfranken
107.,Jordan,Johannes,BBC Coburg,22,245,Bezirksliga,2003,Oberfranken
108.,Studener,David,SpVgg Rattelsdorf 2,20,245,Bezirksliga,2003,Oberfranken
109.,Wagner,Dominik,SpVgg Rattelsdorf 2,20,245,Bezirksliga,2003,Oberfranken
110.,Neubauer,Stefan,TSV Breitengüßbach 4,19,245,Bezirksliga,2003,Oberfranken
111.,Jones,Steve,1. FC Baunach 2,18,245,Bezirksliga,2003,Oberfranken
112.,Semertzidis,Eleftherios,BSC Saas Bayreuth,14,245,Bezirksliga,2003,Oberfranken
113.,Weber,Benedikt,1. FC Baunach 2,13,245,Bezirksliga,2003,Oberfranken
114.,Haubner,Philipp,SpVgg Rattelsdorf 2,13,245,Bezirksliga,2003,Oberfranken
115.,Kräußlich,Leon,BBC Coburg,13,245,Bezirksliga,2003,Oberfranken
116.,Ulshöfer,Jens,TSV Breitengüßbach 4,12,245,Bezirksliga,2003,Oberfranken
117.,Hofmann,Tobias,TSV Breitengüßbach 4,12,245,Bezirksliga,2003,Oberfranken
118.,Marschalt,Jens,SpVgg Rattelsdorf 2,12,245,Bezirksliga,2003,Oberfranken
119.,Desch,Heiner,1.FC 01 Bamberg,10,245,Bezirksliga,2003,Oberfranken
120.,Moritz,Simon,ATS Kulmbach,10,245,Bezirksliga,2003,Oberfranken
121.,Herzing,Thorsten,BSC Saas Bayreuth,9,245,Bezirksliga,2003,Oberfranken
122.,Stolte,Alexander,BSC Saas Bayreuth,8,245,Bezirksliga,2003,Oberfranken
123.,Nowak,Dominik,TTL Bamberg,6,245,Bezirksliga,2003,Oberfranken
124.,Strecker,Martin,BG Litzendorf,6,245,Bezirksliga,2003,Oberfranken
